No;nama;npsn;bentuk_pendidikan;alamat_jalan;desa_kelurahan;kecamatan;kabupaten;provinsi;status_sekolah
95832;SMPN CIPTODADI;10646490;SMP;jln. Raya Cecar;Ciptodadi;Kec. Suka Karya;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95833;SMPN TRANS CIPTODADI;10644902;SMP;JL. SUNGAI BUNGIN DS. RANTAU ALIH;RANTAU ALIH;Kec. Suka Karya;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95834;SMPN SUKA MULYA;10645181;SMP;Suka Mulya;Sukamulya;Kec. Sumber Harta;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95835;SMPN SUMBER HARTA;10610332;SMP;Jln. Fatmawati;Sumber Harta;Kec. Sumber Harta;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95836;SMPS MUHAMMADIYAH SUMBER HARTA;10610335;SMP;JL. JENDERAL SUDIRMAN SMBR HARTA;SUMBER HARTA;Kec. Sumber Harta;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95837;SMP MUHAMMADIYAH SUMBER HARTA;10610335;SMP;jl. Jend. Sudirman Sumber Harta;Sumber Harta;Kec. Sumber Harta;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95838;"SMP MA""ARIF NU SUMBER SARI";70057386;SMP;Jl. CIpto Hadi Suroso Desa Sumber Sari;Sumber Sari;Kec. Sumber Harta;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95839;SMPN KEBUR;10648277;SMP;Jl. Lintas Sumatera Km. 45 Desa Kebur Kec. TPK Kab. MURA Sumsel 31661;Kebur;Kec. Tiang Pumpung Kepungut;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95840;SMPN MUARA KATI;10610322;SMP;Jl.Raya Palembang Km. 37;Muara Kati Baru I;Kec. Tiang Pumpung Kepungut;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95841;SMP PGRI BANPRES;10614369;SMP;JL. BANPRES;BANPRES;Kec. Tuah Negeri;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95842;SMPS PGRI BANPRES;10614369;SMP;DESA BANPRES;BANPRES;Kec. Tuah Negeri;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95843;SMP PGRI AIR BELITI;10614368;SMP;Jl. Kantor Pos Air Beliti;DHARMA SAKTI;Kec. Tuah Negeri;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95844;SMPN AIR LESING;10614348;SMP;Desa Leban Jaya Air Lesing;Lebanjaya;Kec. Tuah Negeri;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95845;SMPN SIMPANG SEMAMBANG;10643883;SMP;Jl. SMP Model;Lubuk Rumbai;Kec. Tuah Negeri;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95846;SMP PGRI SRIKATON;10610328;SMP;Jl Pahlawan Amir 237;F TRIKOYO;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95847;SMP XAVERIUS TUGUMULYO;10610325;SMP;Jl Raya Mataram Tugumulyo;Mataram;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95848;SMP IT AL QUDWAH MUSI RAWAS;69960007;SMP;Jalan Diponegoro Dusun 3;Ngadirejo;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95849;SMPN L SIDOHARJO;10643875;SMP;Jl. Puntodewo L Sidoharjo;Sidoharjo;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95850;SMPN B SRIKATON;10610323;SMP;Jl. Jendral Sudirman;Srikaton;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95851;SMP MAARIF NU TUGUMULYO;10610329;SMP;Jl.Ponpes No.1;Trikoyo;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95852;SMP MUHAMMADIYAH 2;10610327;SMP;Jl. Jenderal Sudirman Desa F. Trikoyo Kec. Tugumulyo Kab. Musi Rawas 31662;Trikoyo;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;SWASTA
95853;SMPN H WUKIRSARI;10610324;SMP;Jl.notodiharjo;Wukir Sari;Kec. Tugu Mulyo;Kab. Musi Rawas;Prov. Sumatera Selatan;NEGERI
95854;SMP NEGERI BINA KARYA;10644903;SMP;Jln. Pendidikan;Bina Karya;Kec. Karang Dapo;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95855;SMP NEGERI KARANG DAPO;10610346;SMP;Karang Dapo;Karang Dapo I;Kec. Karang Dapo;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95856;SMP IT HIDAYATUL KHUSNA;69953372;SMP;Dusun VIII;Kertasari;Kec. Karang Dapo;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95857;SMP AMPERA KARANG DAPO;10610347;SMP;JL. POROS TRANS SP.4;Setia Marga;Kec. Karang Dapo;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95858;SMP NEGERI KARANG JAYA;10610338;SMP;Jalan Pramuka No. 1;Kelurahan Karang Jaya;Kec. Karang Jaya;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95859;SMP NEGERI MUARA BATANG EMPUH;10601339;SMP;Jl Raya Lama;Muara Batang Empu;Kec. Karang Jaya;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95860;SMP MUHAMMADIYAH TANJUNG AGUNG;10644905;SMP;Tanjung Agung;Tanjung Agung;Kec. Karang Jaya;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95861;SMP Negeri Terusan;69988280;SMP;Jl. Lintas Sumatera Km.38;Terusan;Kec. Karang Jaya;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95862;SMP IT Al-Futuhiyyah;69995773;SMP;Jln. Raden Fattah Dsn. Sido Makmur SP I Blok C.0 Desa Bumi Makmur Nibung;Bumi Makmur;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95863;SMP NEGERI BUMI MAKMUR;10610344;SMP;Jl Sukarno Hatta;Bumi Makmur;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95864;SMP NEGERI SATU ATAP JADI MULYA;10646976;SMP;Jadi Mulya;Jadi Mulya;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95865;SMP Negeri Karya Makmur;69987452;SMP;Jl. Raden Fatah;Karya Makmur;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95866;SMP NEGERI SRIJAYA MAKMUR;10643884;SMP;Jln. Lapangan Merdeka;Srijaya Makmur;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95867;SMP NEGERI SUMBER MAKMUR;10610343;SMP;Jl Melati 5 No.61;Sumber Makmur;Kec. Nibung;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95868;SMP PGRI PAUH;10610342;SMP;Desa Air Bening;AIR BENING;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95869;SMP Negeri Belani;69987444;SMP;Jl. Devi Suhartoni;Belani;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95870;SMP NEGERI BINGIN TELUK;10610340;SMP;Jl Ampera No. 43;Beringin Makmur II;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95871;SMP TERBUKA RAWAS ILIR;10643892;SMP;Jl. Ampera No. 43 Desa Beringin Makmur Ii;Bingin Teluk;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95872;SMP NEGERI PAUH;10610341;SMP;Dusun III;Pauh;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95873;SMP NEGERI TERPADU TRANSLOK PAUH;10647924;SMP;Translok Pauh Kec. Rawas Ilir;Pauh I;Kec. Rawas IIlir;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95874;SMP NEGERI SURULANGUN;10614363;SMP;JL. JENDERAL SUDIRMAN NO.83 PASAR SURULANGUN;Kel. Pasar Surulangun;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95875;SMP NEGERI PANGKALAN;10646972;SMP;Jl. Depati Kurus Desa Pangkalan;Pangkalan;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95876;SMP NEGERI PULAU LEBAR;10646488;SMP;JL. DEPATI KURUS;Pulau Lebar;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95877;SMP NEGERI REMBAN;10643879;SMP;Jl Lintas Sumatera KM. 10;Remban;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95878;SMP NEGERI SUNGAI JAUH;10646472;SMP;Jln. Lintas Sumatera Km 105;Sungai Jauh;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95879;SMP NEGERI SUNGAI LANANG;70001923;SMP;Jalan Poros Nibung;Sungai Lanang;Kec. Rawas Ulu;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95880;SMP NEGERI KARANG ANYAR;69894188;SMP;JL. LINTAS SUMATERA KM. 08 DESA KARANG ANYAR;KARANG ANYAR;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95881;SMP NEGERI 1 MUARA RUPIT;10601955;SMP;Jl. Muhammad Yamin;LAWANG AGUNG;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95882;SMP AL- Mathiriyah;10643891;SMP;Lawang Agung;LAWANG AGUNG;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95883;SMP IT JANNATUL FIRDAUS;69900054;SMP;Dusun IV Maur Baru;MAUR BARU;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95884;SMP NEGERI MAUR;10610337;SMP;Jl Lintas Sumatera Km 66;MAUR BARU;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95885;SMPS AL MATTRIYAH RUPIT;10643891;SMP;DESA MUARA RUPIT;MUARA RUPIT;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;SWASTA
95886;SMP NEGERI 2 MUARA RUPIT;10646486;SMP;Jln. Lintas Sumatera Km 70;MUARA RUPIT;Kec. Rupit;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95887;SMP NEGERI MUARA KULAM;10614357;SMP;Muara Kulam;Kel. Muara Kulam;Kec. Ulu Rawas;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95888;SMP NEGERI NAPALICIN;10648280;SMP;DESA NAPALLICIN;Napalicin;Kec. Ulu Rawas;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95889;SMP NEGERI PULAU KIDAK;10644908;SMP;Jln. Temiang;Pulau Kidak;Kec. Ulu Rawas;Kab. Musi Rawas Utara;Prov. Sumatera Selatan;NEGERI
95890;SMP NEGERI 1 INDRALAYA;10603048;SMP;Jl. Lintas Timur Km.35 Indralaya;INDRALAYA;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95891;SMP IT MENARA FITRAH;69900453;SMP;JL. LINTAS TIMUR KM. 34 KOMPLEKS PENDIDIKAN MENARA FITRAH;Indralaya Indah;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95892;SMP LINGUA PRIMA;70034561;SMP;Jl. Lintas Timur Km. 35 Indralaya Mulya;Indralaya Mulya;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95893;SMP IT RAUDHATUL ULUM;10605913;SMP;Jl. KH. Moh. Harun Kampus B Komp. PP. Raudhatul Ulum;Sakatiga;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95894;SMP NEGERI 3 INDRALAYA;10646259;SMP;Tanjung Agung;TANJUNG AGUNG;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95895;SMP NEGERI 2 INDRALAYA;10603044;SMP;Desa Tunas Aur;Tunas Aur;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95896;SMP NEGERI 4 SATAP INDRALAYA;10648101;SMP;Jln. Raya Dusun II Desa Ulak Segelung;Ulak Segelung;Kec. Indralaya;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95897;SMP MUHAMMADIYAH MERANJAT;10643907;SMP;Jalan Pemiri Desa Meranjat I Kecamatan Indralaya Selatan;Meranjat I;Kec. Indralaya Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95898;SMP NEGERI 1 INDRALAYA SELATAN;10610360;SMP;Jalan Raya Tanah Tinggi;Meranjat I;Kec. Indralaya Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95899;SMP NEGERI 3 INDRALAYA SELATAN;10610362;SMP;Jl Pulau Pendidikan;Sukaraja Baru;Kec. Indralaya Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95900;SMP NEGERI 2 INDRALAYA SELATAN;10610361;SMP;Jln Tanjung Karangan Ds Tebing Gerinting;Tebing Gerinting Selatan;Kec. Indralaya Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95901;SMP MUHAMMADIYAH 10;10610359;SMP;Jalan Letnan Muhtar;Lorok;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95902;SMP NEGERI 2 INDRALAYA UTARA;10603034;SMP;Jl Palem Raya  Km 27;PALEMRAYA;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95903;SMP NEGERI 1 INDRALAYA UTARA;10610355;SMP;Jalan Desa Parit;Parit;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95904;SMP IT PPM ALBASYA;70033885;SMP;Dusun II Desa Payakabung;Payakabung;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95905;SMP NEGERI 4 INDRALAYA UTARA;10610356;SMP;Dusun II desa Suak Batok;Suak Batok;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95906;SMP NEGERI 3 INDRALAYA UTARA;10610357;SMP;DUSUN 1;SUNGAI RAMBUTAN;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95907;SMP NEGERI 5 INDRALAYA UTARA;10646602;SMP;Jl.desa Tanjung Baru;Tanjung Baru;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95908;SMP NEGERI 7 INDRALAYA UTARA;10647785;SMP;Jl. POROS;Tanjung Pule;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95909;SMP ISLAM TERPADU ROBBANI;70031580;SMP;JL. SARJANA BLOK.A KEL. TIMBANGAN;Timbangan;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95910;SMP NEGERI 6 INDRALAYA UTARA;10646515;SMP;Jalan Sarjana KM 32 Kelurahan Timbangan;Timbangan;Kec. Indralaya Utara;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95911;SMP NEGERI 1 KANDIS;10643791;SMP;Dusun 1 Desa Kandis;Kandis I;Kec. Kandis;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95912;SMP NEGERI 3 KANDIS;10643794;SMP;Jalan Amd Manunggal IX;Kumbang Ulu;Kec. Kandis;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95913;SMP NEGERI 2 KANDIS;10643793;SMP;Jalan Raya Ds. Muara Kumbang;Muara Kumbang;Kec. Kandis;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95914;SMP CINTA MANIS;10643773;SMP;Kompleks  Uu Cinta Manis;Ketiau;Kec. Lubuk Keliat;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95915;SMP NEGERI 1 LUBUK KELIAT;10644391;SMP;Jalan Desa Lubuk Keliat;Lubuk Keliat;Kec. Lubuk Keliat;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95916;SMP AL YUZZAKYAH;69989636;SMP;TALANG TENGAH DARAT;Talang Tengah Barat;Kec. Lubuk Keliat;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95917;SMP NEGERI 2 LUBUK KELIAT;10643770;SMP;Jln. Raya Ulak Kembahang;Ulak Kembahang;Kec. Lubuk Keliat;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95918;SMP NEGERI 4 MUARA KUANG;10643799;SMP;Jalan Raya Kuang Anyar;KUANG ANYAR;Kec. Muara Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95919;SMP NEGERI 1 MUARAKUANG;10603047;SMP;Jl. Raya No. 238 Muara Kuang;Muara Kuang;Kec. Muara Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95920;SMP NEGERI 3 MUARA KUANG;10643797;SMP;Desa Serimenanti;Serimenanti;Kec. Muara Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95921;SMP NEGERI 2 MUARA KUANG;10603043;SMP;Suka Cinta;Suka Cinta;Kec. Muara Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95922;SMP NEGERI 3 PAYARAMAN;10646129;SMP;Jln. Payo Buluh Hitam Ds. Lubuk Bandung;Lubuk Bandung;Kec. Payaraman;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95923;SMP NEGERI 1 PAYARAMAN;10643795;SMP;Jln Lanang Kuaso Kel Payaraman Barat;Payaraman Barat;Kec. Payaraman;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95924;SMP AL UMAR;69968482;SMP;JL Merdeka RT 04 DUSUN II;Talang Seleman;Kec. Payaraman;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95925;SMP NEGERI 2 PAYARAMAN;10643798;SMP;Jln. Rajawali;Tanjung Lalang;Kec. Payaraman;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95926;SMP PGRI TEBEDAK;10643796;SMP;Jln. Suka Damai;Tebedak I;Kec. Payaraman;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95927;SMP PONDOK MODERN HIDAYATURRAHMAN;70031259;SMP;Dusun II RT.05 Ibul Besar I;Ibul Besar I;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95928;SMP NEGERI 4 PEMULUTAN;10643762;SMP;Jalan Raya Desa Ibul Besar I;Ibul Besar I;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95929;SMP NEGERI 2 PEMULUTAN;10643759;SMP;Jalan Raya Lebung Jangkar;Lebung Jangkar;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95930;SMP NEGERI 6 PEMULUTAN;10646603;SMP;Jln. Desa Mekar Jaya;MEKAR JAYA;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95931;SMP NEGERI 5 PEMULUTAN;10643763;SMP;Jalan Tepian Sungai Ogan;Palu;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95932;SMP ETIKA ESTETIKA;10643765;SMP;JL.SEPAKAT JAYA;PEGAYUT;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95933;SMP NEGERI 7 PEMULUTAN;10646554;SMP;JLN MERANTI DUSUN III;Pipa Putih;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95934;SMPN Terbuka Pemulutan;69787195;SMP;JLN. MERANTI DUSUN III;PIPA PUTIH;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95935;SMPN TERBUKA PEMULUTAN;69787195;SMP;JLN. MERANTI DUSUN III;PIPA PUTIH;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95936;SMP NEGERI 3 PEMULUTAN;10643761;SMP;Jln Pesirah M Akip Desa simpang Pelabuhan Dalam;Simpang Pelabuhan Dalam;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95937;SMP NEGERI 1 PEMULUTAN;10603046;SMP;Jalan Mayor Iskandar Teluk Kecapi;Teluk Kecapi;Kec. Pemulutan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95938;SMP NEGERI 2 PEMULUTAN BARAT;10646776;SMP;Jln. Desa Arisan Jaya;Arisan Jaya;Kec. Pemulutan Barat;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95939;SMP NEGERI 1 PEMULUTAN BARAT;10643766;SMP;Jalan Mayor Iskandar;TALANG PANGERAN ULU;Kec. Pemulutan Barat;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95940;SMP NURUL HUDA;10643768;SMP;Jl. Mayor Iskandar Ds  Dua;ULAK KEMBAHANG I;Kec. Pemulutan Barat;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95941;SMP NEGERI 4 PEMULUTAN SELATAN;10643774;SMP;Jalan Gotong-royong;Maju Jaya;Kec. Pemulutan Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95942;SMP NEGERI 2 PEMULUTAN SELATAN;10643771;SMP;Jalan Sungai Kijang Mati;Pematang Bangsal;Kec. Pemulutan Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95943;SMP NEGERI 1 PEMULUTAN SELATAN;10643769;SMP;Jalan Raya;Sungai Lebung Ulu;Kec. Pemulutan Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95944;SMP NEGERI 3 PEMULUTAN SELATAN;10643772;SMP;Ulak Aurstanding;Ulak Aur Standing;Kec. Pemulutan Selatan;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95945;SMP NEGERI 5 RAMBANG KUANG;10643807;SMP;Dusun III Kelapa Dua;BERINGIN DALAM;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95946;SMP NEGERI 9 RAMBANG KUANG;10643758;SMP;Jln. Desa Ibul Dalam;Ibul Dalam;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95947;SMP NEGERI 6 RAMBANG KUANG;10643809;SMP;Desa Kayuara;Kayu Ara;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95948;SMP NEGERI 2 RAMBANG KUANG;10643802;SMP;Jalan Raya No.1;Kuang Dalam Timur;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95949;SMP NEGERI 10 RAMBANG KUANG;10643760;SMP;LUBUK TUNGGAL;Lubuk Tunggal;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95950;SMP NEGERI 8 RAMBANG KUANG;10643811;SMP;Jalan Pertamina sukananti-Prabumulih;Sukananti;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95951;SMP NEGERI 4 RAMBANG KUANG;10643806;SMP;Desa Sunur;SUNUR;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95952;SMP BUMI RAMBANG KRAMAJAYA;10643764;SMP;Komplek PT. BRK Tambangan Rambang;Tambang Rambang;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95953;SMP NEGERI 1 RAMBANG KUANG;10643801;SMP;Jl. Beringin Desa Tambang Rambang;Tambang Rambang;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95954;SMP NEGERI 7 RAMBANG KUANG;10643810;SMP;Jalan Raya Ds. Tanjung Miring;Tanjung Miring;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95955;SMP NEGERI 3 RAMBANG KUANG;10643804;SMP;Jl. Raya Desa Ulak Segara;Ulak Segara;Kec. Rambang Kuang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95956;SMP NEGERI 1 RANTAU ALAI;10643787;SMP;Jl. Serma Kadet Ali Hanafiah 104;Mekar Sari;Kec. Rantau Alai;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95957;SMP NEGERI 2 RANTAU ALAI;10643790;SMP;Jalan Sanding Marga;Sanding Marga;Kec. Rantau Alai;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95958;SMP NEGERI 3 RANTAU ALAI;10646317;SMP;Desa Sukananti Baru;Sukanan Ti Baru;Kec. Rantau Alai;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95959;SMP NEGERI 4 RANTAU PANJANG;10646140;SMP;Jln. Pendidikan;Ketapang I;Kec. Rantau Panjang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95960;SMP NEGERI 3 RANTAU PANJANG;10643786;SMP;Jalan Raya Kotadaro I;Kota Daro I;Kec. Rantau Panjang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95961;SMP NEGERI 2 RANTAU PANJANG;10643784;SMP;Jalan Raya Desa Kotadaro II;Kota Daro Ii;Kec. Rantau Panjang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95962;SMP NEGERI 1 RANTAU PANJANG;10643783;SMP;Jalan Raya Rantau Panjang;Rantau Panjang Ilir;Kec. Rantau Panjang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95963;SMP NEGERI 1 SUNGAI PINANG;10643778;SMP;Jl. Lettu H. Ishak Ibrahim;Sungai Pinang;Kec. Sungai Pinang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95964;SMP NEGERI 2 SUNGAI PINANG;10643779;SMP;Jalan Pembarap M. Syirod Achyat;Sungai Pinang Iii;Kec. Sungai Pinang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95965;SMP NEGERI 3 SUNGAI PINANG;10643781;SMP;Jalan AMD Manunggal Ke. 55. Dusun Tanjung Serian;Tanjung serian;Kec. Sungai Pinang;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95966;SMP NEGERI 3 TANJUNG BATU;10643782;SMP;Dusun II Desa Sentul RT/RW 004/000;Sentul;Kec. Tanjung Batu;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
95967;SMPS PGRI SRIBANDUNG;10643788;SMP;SERIBANDUNG;SERI BANDUNG;Kec. Tanjung Batu;Kab. Ogan Ilir;Prov. Sumatera Selatan;SWASTA
95968;SMP NEGERI 2 TANJUNG BATU;10643780;SMP;Jl.simpang Tiga;Seri Bandung;Kec. Tanjung Batu;Kab. Ogan Ilir;Prov. Sumatera Selatan;NEGERI
